year,bank,survey_scope,survey_type,species_label,n_transects,mean_percent_cover,sd_percent_cover,se_percent_cover,data_source_branch
1995,EFGB,study_site,RT,Agaricia lamarcki (AGLA),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Agaricia sp (AGSP),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Colpophyllia amaranthus (COAM),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Colpophyllia natans (CONA),14,6.720962370547215,6.303093082053306,1.6845724849991772,cpce
1995,EFGB,study_site,RT,Colpophyllia sp (COSP),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Crustose Coralline Algae (CCA),14,2.493579698458871,2.0284931172102807,0.5421375897164247,cpce
1995,EFGB,study_site,RT,Madracis auretenra (MAAU),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Madracis decactis (MADE),14,0.015394088669950736,0.0575994055845742,0.015394088669950734,cpce
1995,EFGB,study_site,RT,Madracis sp (MASP),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Millepora alcicornis (MIAL),14,2.000943482239695,2.1299308501475354,0.5692479641980162,cpce
1995,EFGB,study_site,RT,Montastraea cavernosa (MOCA),14,3.562433221149175,3.964960881543544,1.0596803693355086,cpce
1995,EFGB,study_site,RT,Mussa angulosa (MUAN),14,0.0748956058690572,0.1930653942944829,0.051598897049455396,cpce
1995,EFGB,study_site,RT,Orbicella annularis (ORAN),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Orbicella faveolata (ORFA),14,4.939396356711499,6.643314749548965,1.775500550379583,cpce
1995,EFGB,study_site,RT,Orbicella franksi (ORFR),14,38.638999185893944,16.111164143790695,4.3058897377244225,cpce
1995,EFGB,study_site,RT,Orbicella spp. (ORSP),14,0.015394088669950736,0.0575994055845742,0.015394088669950734,cpce
1995,EFGB,study_site,RT,Porites astreoides (POAS),14,2.880189770524816,1.4954814711591962,0.39968423523902624,cpce
1995,EFGB,study_site,RT,Porites furcata (POFU),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Pseudodiploria strigosa (PSST),14,8.461932832650534,8.37810748893216,2.2391434123677927,cpce
1995,EFGB,study_site,RT,Scolymia cubensis (SCCU),14,0.01580278128950695,0.0591285933434567,0.015802781289506948,cpce
1995,EFGB,study_site,RT,Scolymia sp (SCSP),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Siderastrea radians (SIRA),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Siderastrea siderea (SISI),14,0.9951704358145975,3.1236180214250484,0.8348220316660883,cpce
1995,EFGB,study_site,RT,Siderastrea sp (SISP),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Stephanocoenia intersepta (STIN),14,0.2130785992449463,0.48524353861810515,0.12968679076105424,cpce
1995,EFGB,study_site,RT,Stephaocoenia sp (STSP),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Unknown Coral I (C1),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Unknown Coral II (C2),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Unknown Coral III (C3),14,0.0,0.0,0.0,cpce
1995,EFGB,study_site,RT,Unknown Coral IV (C4),14,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Agaricia agaricites (AGAG),18,0.5455693500714707,0.5041187041995352,0.11882191808748888,cpce
1995,WFGB,study_site,RT,Agaricia fragilis (AGFR),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Agaricia lamarcki (AGLA),18,0.013550135501355011,0.05748835619402825,0.013550135501355014,cpce
1995,WFGB,study_site,RT,Agaricia sp (AGSP),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Colpophyllia amaranthus (COAM),18,0.0671662346762363,0.16171777808484608,0.03811724584073864,cpce
1995,WFGB,study_site,RT,Colpophyllia natans (CONA),18,0.9830361695201584,1.3486980064553544,0.3178911687124531,cpce
1995,WFGB,study_site,RT,Colpophyllia sp (COSP),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Crustose Coralline Algae (CCA),18,5.925461030789672,2.84896160648192,0.6715066904278286,cpce
1995,WFGB,study_site,RT,Madracis auretenra (MAAU),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Madracis decactis (MADE),18,0.4772482504175236,0.9862178266953684,0.23245377099445147,cpce
1995,WFGB,study_site,RT,Madracis sp (MASP),18,0.0,0.0,0.0,cpce
1995,WFGB,study_site,RT,Millepora alcicornis (MIAL),18,1.6192512761796878,1.6779646131308161,0.39550005217862066,cpce
